"","YYYY","MM","DD","WTMP","Date","WTMP_K"
"220",2013,11,2,15.9125,2013-11-02,289.0625
"221",2014,11,2,13.9708333333333,2014-11-02,287.120833333333
"222",2015,11,2,15.775,2015-11-02,288.925
"223",2001,12,2,12.5291666666667,2001-12-02,285.679166666667
"224",2003,12,2,9.225,2003-12-02,282.375
"225",2006,12,2,11.3,2006-12-02,284.45
"226",2008,12,2,7.63333333333333,2008-12-02,280.783333333333
"227",2010,12,2,9.92083333333333,2010-12-02,283.070833333333
"228",2011,12,2,9.96666666666667,2011-12-02,283.116666666667
"229",2012,12,2,8.12916666666667,2012-12-02,281.279166666667
"230",2013,12,2,6.37083333333333,2013-12-02,279.520833333333
"231",2014,12,2,7.81666666666667,2014-12-02,280.966666666667
"232",2001,1,3,-0.075,2001-01-03,273.075
"233",2003,1,3,4.4375,2003-01-03,277.5875
"234",2006,1,3,4.85416666666667,2006-01-03,278.004166666667
"235",2008,1,3,4.2,2008-01-03,277.35
"236",2010,1,3,2.21363636363636,2010-01-03,275.363636363636
"237",2011,1,3,2.5875,2011-01-03,275.7375
"238",2012,1,3,6.35,2012-01-03,279.5
"239",2013,1,3,4.70416666666667,2013-01-03,277.854166666667
"240",2014,1,3,3.61666666666667,2014-01-03,276.766666666667
"241",2015,1,3,4.8,2015-01-03,277.95
"242",2001,2,3,2.00833333333333,2001-02-03,275.158333333333
"243",2003,2,3,0.366666666666667,2003-02-03,273.516666666667
"244",2006,2,3,5.475,2006-02-03,278.625
"245",2008,2,3,3.89583333333333,2008-02-03,277.045833333333
"246",2010,2,3,1.49166666666667,2010-02-03,274.641666666667
"247",2011,2,3,0.904166666666667,2011-02-03,274.054166666667
"248",2012,2,3,5.12916666666667,2012-02-03,278.279166666667
"249",2013,2,3,3.1875,2013-02-03,276.3375
"250",2014,2,3,0.725,2014-02-03,273.875
"251",2015,2,3,1.53333333333333,2015-02-03,274.683333333333
"252",2001,3,3,5.66190476190476,2001-03-03,278.811904761905
"253",2003,3,3,0.470833333333333,2003-03-03,273.620833333333
"254",2006,3,3,4.19583333333333,2006-03-03,277.345833333333
"255",2008,3,3,4.20416666666667,2008-03-03,277.354166666667
"256",2010,3,3,2.71666666666667,2010-03-03,275.866666666667
"257",2011,3,3,4.55416666666667,2011-03-03,277.704166666667
"258",2012,3,3,7.41666666666667,2012-03-03,280.566666666667
"259",2013,3,3,3.96521739130435,2013-03-03,277.115217391304
"260",2014,3,3,1.58333333333333,2014-03-03,274.733333333333
"261",2015,3,3,-0.183333333333333,2015-03-03,272.966666666667
"262",2001,4,3,7.65833333333333,2001-04-03,280.808333333333
"263",2003,4,3,8.37916666666667,2003-04-03,281.529166666667
"264",2006,4,3,10.3333333333333,2006-04-03,283.483333333333
"265",2008,4,3,8.93333333333333,2008-04-03,282.083333333333
"266",2010,4,3,10.3625,2010-04-03,283.5125
"267",2011,4,3,7.30833333333333,2011-04-03,280.458333333333
"268",2012,4,3,11.2083333333333,2012-04-03,284.358333333333
"269",2013,4,3,7.1875,2013-04-03,280.3375
"270",2014,4,3,6.69583333333333,2014-04-03,279.845833333333
"271",2001,5,3,16.1833333333333,2001-05-03,289.333333333333
"272",2003,5,3,15.0708333333333,2003-05-03,288.220833333333
"273",2006,5,3,15.5125,2006-05-03,288.6625
"274",2008,5,3,15.675,2008-05-03,288.825
"275",2010,5,3,16.0666666666667,2010-05-03,289.216666666667
"276",2011,5,3,16.5583333333333,2011-05-03,289.708333333333
"277",2012,5,3,15.5875,2012-05-03,288.7375
"278",2013,5,3,15.1,2013-05-03,288.25
"279",2014,5,3,14.0416666666667,2014-05-03,287.191666666667
"280",2015,5,3,14.2083333333333,2015-05-03,287.358333333333
"281",2001,6,3,18.9833333333333,2001-06-03,292.133333333333
"282",2003,6,3,16.2416666666667,2003-06-03,289.391666666667
"283",2006,6,3,22.1791666666667,2006-06-03,295.329166666667
"284",2008,6,3,20.3375,2008-06-03,293.4875
"285",2010,6,3,23.4875,2010-06-03,296.6375
"286",2011,6,3,23.725,2011-06-03,296.875
"287",2012,6,3,22.6541666666667,2012-06-03,295.804166666667
"288",2013,6,3,21.7272727272727,2013-06-03,294.877272727273
"289",2014,6,3,20.2958333333333,2014-06-03,293.445833333333
"290",2015,6,3,21.6291666666667,2015-06-03,294.779166666667
"291",2001,7,3,24.7208333333333,2001-07-03,297.870833333333
"292",2003,7,3,22.95,2003-07-03,296.1
"293",2006,7,3,26.1083333333333,2006-07-03,299.258333333333
"294",2008,7,3,25.175,2008-07-03,298.325
"295",2010,7,3,24.975,2010-07-03,298.125
"296",2011,7,3,25.8916666666667,2011-07-03,299.041666666667
"297",2012,7,3,26.525,2012-07-03,299.675
"298",2013,7,3,25.6333333333333,2013-07-03,298.783333333333
"299",2014,7,3,26.3541666666667,2014-07-03,299.504166666667
"300",2015,7,3,24.5538461538462,2015-07-03,297.703846153846
"301",2001,8,3,25.1958333333333,2001-08-03,298.345833333333
"302",2003,8,3,25.775,2003-08-03,298.925
"303",2006,8,3,29.8625,2006-08-03,303.0125
"304",2008,8,3,27.1916666666667,2008-08-03,300.341666666667
"305",2010,8,3,27.1833333333333,2010-08-03,300.333333333333
"306",2011,8,3,28.3875,2011-08-03,301.5375
"307",2012,8,3,27.9916666666667,2012-08-03,301.141666666667
"308",2013,8,3,26.0791666666667,2013-08-03,299.229166666667
"309",2014,8,3,25.2041666666667,2014-08-03,298.354166666667
"310",2015,8,3,27.275,2015-08-03,300.425
"311",2006,9,3,22.8166666666667,2006-09-03,295.966666666667
"312",2008,9,3,25.2541666666667,2008-09-03,298.404166666667
"313",2010,9,3,27.0875,2010-09-03,300.2375
"314",2011,9,3,24.5916666666667,2011-09-03,297.741666666667
"315",2012,9,3,27.2041666666667,2012-09-03,300.354166666667
"316",2013,9,3,26.3583333333333,2013-09-03,299.508333333333
"317",2014,9,3,26.5416666666667,2014-09-03,299.691666666667
"318",2015,9,3,27.0375,2015-09-03,300.1875
"319",2003,10,3,19.1173913043478,2003-10-03,292.267391304348
"320",2006,10,3,20.775,2006-10-03,293.925
"321",2008,10,3,20.3375,2008-10-03,293.4875
"322",2010,10,3,21.4583333333333,2010-10-03,294.608333333333
"323",2011,10,3,19.3833333333333,2011-10-03,292.533333333333
"324",2012,10,3,21.7041666666667,2012-10-03,294.854166666667
"325",2013,10,3,21.9125,2013-10-03,295.0625
"326",2014,10,3,22.0166666666667,2014-10-03,295.166666666667
"327",2015,10,3,19.9333333333333,2015-10-03,293.083333333333
"328",2001,11,3,15.45,2001-11-03,288.6
"329",2003,11,3,15.225,2003-11-03,288.375
"330",2006,11,3,12.6041666666667,2006-11-03,285.754166666667
"331",2008,11,3,13.4083333333333,2008-11-03,286.558333333333
"332",2010,11,3,14.2333333333333,2010-11-03,287.383333333333
"333",2011,11,3,13.8458333333333,2011-11-03,286.995833333333
"334",2012,11,3,12.4416666666667,2012-11-03,285.591666666667
"335",2013,11,3,15.4208333333333,2013-11-03,288.570833333333
"336",2014,11,3,13.5041666666667,2014-11-03,286.654166666667
"337",2015,11,3,15.6526315789474,2015-11-03,288.802631578947
"338",2001,12,3,11.775,2001-12-03,284.925
"339",2003,12,3,7.99166666666667,2003-12-03,281.141666666667
"340",2006,12,3,10.5916666666667,2006-12-03,283.741666666667
"341",2008,12,3,7.15833333333333,2008-12-03,280.308333333333
"342",2010,12,3,8.87916666666667,2010-12-03,282.029166666667
"343",2011,12,3,9.8625,2011-12-03,283.0125
"344",2012,12,3,8.40416666666667,2012-12-03,281.554166666667
"345",2013,12,3,6.5375,2013-12-03,279.6875
"346",2014,12,3,7.51666666666667,2014-12-03,280.666666666667
"347",2015,12,3,10.92,2015-12-03,284.07
"348",2001,1,4,0.366666666666667,2001-01-04,273.516666666667
"349",2003,1,4,4.12083333333333,2003-01-04,277.270833333333
"350",2006,1,4,4.87916666666667,2006-01-04,278.029166666667
"351",2008,1,4,3.9875,2008-01-04,277.1375
"352",2010,1,4,1.59047619047619,2010-01-04,274.740476190476
"353",2011,1,4,2.42083333333333,2011-01-04,275.570833333333
"354",2012,1,4,5.24166666666667,2012-01-04,278.391666666667
"355",2013,1,4,4.54583333333333,2013-01-04,277.695833333333
"356",2014,1,4,3.1375,2014-01-04,276.2875
"357",2015,1,4,4.9125,2015-01-04,278.0625
"358",2001,2,4,2.35416666666667,2001-02-04,275.504166666667
"359",2003,2,4,0.445833333333333,2003-02-04,273.595833333333
"360",2006,2,4,5.7625,2006-02-04,278.9125
"361",2008,2,4,4.0375,2008-02-04,277.1875
"362",2010,2,4,1.64583333333333,2010-02-04,274.795833333333
"363",2011,2,4,0.908333333333333,2011-02-04,274.058333333333
"364",2012,2,4,5.25,2012-02-04,278.4
"365",2013,2,4,2.875,2013-02-04,276.025
"366",2014,2,4,0.3625,2014-02-04,273.5125
"367",2015,2,4,1.54583333333333,2015-02-04,274.695833333333
"368",2001,3,4,7.075,2001-03-04,280.225
"369",2003,3,4,0.2625,2003-03-04,273.4125
"370",2006,3,4,4.0625,2006-03-04,277.2125
