"","YY","MM","DD","WTMP","WTMP_K","Date"
"252",94,6,12,3.50416666666667,276.654166666667,1994-06-12
"253",95,6,12,5.59583333333333,278.745833333333,1995-06-12
"254",93,7,12,17.0916666666667,290.241666666667,1993-07-12
"255",94,7,12,11.7541666666667,284.904166666667,1994-07-12
"256",95,7,12,17.0041666666667,290.154166666667,1995-07-12
"257",93,8,12,21.6666666666667,294.816666666667,1993-08-12
"258",94,8,12,17.225,290.375,1994-08-12
"259",95,8,12,21.8913043478261,295.041304347826,1995-08-12
"260",94,9,12,17.6208333333333,290.770833333333,1994-09-12
"261",95,9,12,18.8916666666667,292.041666666667,1995-09-12
"262",93,10,12,11.9208333333333,285.070833333333,1993-10-12
"263",94,10,12,14.6916666666667,287.841666666667,1994-10-12
"264",95,10,12,13.6,286.75,1995-10-12
"265",95,11,12,8.595,281.745,1995-11-12
"266",93,4,13,1.8,274.95,1993-04-13
"267",94,4,13,0.983333333333333,274.133333333333,1994-04-13
"268",95,4,13,2.5375,275.6875,1995-04-13
"269",93,5,13,2.67826086956522,275.828260869565,1993-05-13
"270",94,5,13,2.07916666666667,275.229166666667,1994-05-13
"271",95,5,13,3.24583333333333,276.395833333333,1995-05-13
"272",93,6,13,5.22916666666667,278.379166666667,1993-06-13
"273",94,6,13,3.5875,276.7375,1994-06-13
"274",95,6,13,5.5125,278.6625,1995-06-13
"275",93,7,13,17.5125,290.6625,1993-07-13
"276",94,7,13,11.8625,285.0125,1994-07-13
"277",95,7,13,17.0166666666667,290.166666666667,1995-07-13
"278",93,8,13,21.4083333333333,294.558333333333,1993-08-13
"279",94,8,13,17.2666666666667,290.416666666667,1994-08-13
"280",95,8,13,22.2375,295.3875,1995-08-13
"281",94,9,13,17.7458333333333,290.895833333333,1994-09-13
"282",95,9,13,18.7375,291.8875,1995-09-13
"283",93,10,13,12.1833333333333,285.333333333333,1993-10-13
"284",94,10,13,14.6708333333333,287.820833333333,1994-10-13
"285",95,10,13,13.5583333333333,286.708333333333,1995-10-13
"286",93,4,14,1.80833333333333,274.958333333333,1993-04-14
"287",94,4,14,1.04166666666667,274.191666666667,1994-04-14
"288",95,4,14,2.6375,275.7875,1995-04-14
"289",93,5,14,2.7375,275.8875,1993-05-14
"290",94,5,14,2.47272727272727,275.622727272727,1994-05-14
"291",95,5,14,3.3125,276.4625,1995-05-14
"292",93,6,14,4.89583333333333,278.045833333333,1993-06-14
"293",94,6,14,4.3695652173913,277.519565217391,1994-06-14
"294",95,6,14,5.94166666666667,279.091666666667,1995-06-14
"295",93,7,14,17.5708333333333,290.720833333333,1993-07-14
"296",94,7,14,11.4541666666667,284.604166666667,1994-07-14
"297",95,7,14,17.7333333333333,290.883333333333,1995-07-14
"298",93,8,14,20.8125,293.9625,1993-08-14
"299",94,8,14,16.8333333333333,289.983333333333,1994-08-14
"300",95,8,14,22.2833333333333,295.433333333333,1995-08-14
"301",94,9,14,17.9652173913043,291.115217391304,1994-09-14
"302",95,9,14,18.6541666666667,291.804166666667,1995-09-14
"303",93,10,14,12.1625,285.3125,1993-10-14
"304",94,10,14,14.575,287.725,1994-10-14
"305",95,10,14,13.7583333333333,286.908333333333,1995-10-14
"306",93,4,15,1.9125,275.0625,1993-04-15
"307",94,4,15,1.11666666666667,274.266666666667,1994-04-15
"308",95,4,15,2.60833333333333,275.758333333333,1995-04-15
"309",93,5,15,2.90416666666667,276.054166666667,1993-05-15
"310",94,5,15,2.5,275.65,1994-05-15
"311",95,5,15,3.31666666666667,276.466666666667,1995-05-15
"312",93,6,15,4.3625,277.5125,1993-06-15
"313",94,6,15,5.61739130434783,278.767391304348,1994-06-15
"314",95,6,15,7.45,280.6,1995-06-15
"315",93,7,15,18.0458333333333,291.195833333333,1993-07-15
"316",94,7,15,11.7913043478261,284.941304347826,1994-07-15
"317",95,7,15,17.9521739130435,291.102173913043,1995-07-15
"318",93,8,15,20.8708333333333,294.020833333333,1993-08-15
"319",94,8,15,16.6,289.75,1994-08-15
"320",95,8,15,22.3583333333333,295.508333333333,1995-08-15
"321",94,9,15,18.0652173913043,291.215217391304,1994-09-15
"322",95,9,15,18.6416666666667,291.791666666667,1995-09-15
"323",93,10,15,12.175,285.325,1993-10-15
"324",94,10,15,14.375,287.525,1994-10-15
"325",95,10,15,13.6416666666667,286.791666666667,1995-10-15
"326",93,4,16,2.15833333333333,275.308333333333,1993-04-16
"327",94,4,16,1.05,274.2,1994-04-16
"328",95,4,16,2.525,275.675,1995-04-16
"329",93,5,16,2.89583333333333,276.045833333333,1993-05-16
"330",94,5,16,2.38333333333333,275.533333333333,1994-05-16
"331",95,5,16,3.3,276.45,1995-05-16
"332",93,6,16,4.70833333333333,277.858333333333,1993-06-16
"333",94,6,16,6.4125,279.5625,1994-06-16
"334",95,6,16,8.0375,281.1875,1995-06-16
"335",93,7,16,19.2458333333333,292.395833333333,1993-07-16
"336",94,7,16,13.1,286.25,1994-07-16
"337",95,7,16,17.9583333333333,291.108333333333,1995-07-16
"338",93,8,16,20.8083333333333,293.958333333333,1993-08-16
"339",94,8,16,16.6541666666667,289.804166666667,1994-08-16
"340",95,8,16,22.4083333333333,295.558333333333,1995-08-16
"341",94,9,16,17.575,290.725,1994-09-16
"342",95,9,16,18.4083333333333,291.558333333333,1995-09-16
"343",93,10,16,12.0875,285.2375,1993-10-16
"344",94,10,16,14.0260869565217,287.176086956522,1994-10-16
"345",95,10,16,12.8041666666667,285.954166666667,1995-10-16
"346",93,4,17,2.29166666666667,275.441666666667,1993-04-17
"347",94,4,17,1.0375,274.1875,1994-04-17
"348",95,4,17,2.44583333333333,275.595833333333,1995-04-17
"349",93,5,17,2.825,275.975,1993-05-17
"350",94,5,17,2.49583333333333,275.645833333333,1994-05-17
"351",95,5,17,3.32916666666667,276.479166666667,1995-05-17
"352",93,6,17,4.73333333333333,277.883333333333,1993-06-17
"353",94,6,17,6.57083333333333,279.720833333333,1994-06-17
"354",95,6,17,9,282.15,1995-06-17
"355",93,7,17,19.3826086956522,292.532608695652,1993-07-17
"356",94,7,17,13.8739130434783,287.023913043478,1994-07-17
"357",95,7,17,17.4416666666667,290.591666666667,1995-07-17
"358",93,8,17,21.0041666666667,294.154166666667,1993-08-17
"359",94,8,17,17.0041666666667,290.154166666667,1994-08-17
"360",95,8,17,22.4333333333333,295.583333333333,1995-08-17
"361",94,9,17,17.5125,290.6625,1994-09-17
"362",95,9,17,18.1041666666667,291.254166666667,1995-09-17
"363",93,10,17,11.8083333333333,284.958333333333,1993-10-17
"364",94,10,17,14.0304347826087,287.180434782609,1994-10-17
"365",95,10,17,12.6125,285.7625,1995-10-17
"366",93,4,18,2.31666666666667,275.466666666667,1993-04-18
"367",94,4,18,1.04782608695652,274.197826086957,1994-04-18
"368",95,4,18,2.4875,275.6375,1995-04-18
"369",93,5,18,2.88333333333333,276.033333333333,1993-05-18
"370",94,5,18,2.6125,275.7625,1994-05-18
"371",95,5,18,3.3125,276.4625,1995-05-18
"372",93,6,18,4.63333333333333,277.783333333333,1993-06-18
"373",94,6,18,9.75833333333333,282.908333333333,1994-06-18
"374",95,6,18,10.9695652173913,284.119565217391,1995-06-18
"375",93,7,18,18.9958333333333,292.145833333333,1993-07-18
"376",94,7,18,13.9565217391304,287.10652173913,1994-07-18
"377",95,7,18,17.4541666666667,290.604166666667,1995-07-18
"378",93,8,18,21.4833333333333,294.633333333333,1993-08-18
"379",94,8,18,17.4958333333333,290.645833333333,1994-08-18
"380",95,8,18,22.5173913043478,295.667391304348,1995-08-18
"381",94,9,18,17.6375,290.7875,1994-09-18
"382",95,9,18,17.9666666666667,291.116666666667,1995-09-18
"383",93,10,18,11.8666666666667,285.016666666667,1993-10-18
"384",94,10,18,14.1545454545455,287.304545454545,1994-10-18
"385",95,10,18,12.5208333333333,285.670833333333,1995-10-18
"386",93,4,19,2.14166666666667,275.291666666667,1993-04-19
